emp_no,first_name,last_name,birth_date,from_date,to_date,title
54876,Branimir,Tempesti,1963-03-30,1985-10-12,9999-01-01,Staff
54883,Fatemeh,Gips,1963-01-21,1989-11-10,9999-01-01,Senior Engineer
54894,Palash,Pews,1964-03-20,1998-09-22,9999-01-01,Senior Staff
54900,Khalil,Stemann,1964-02-22,1986-07-03,9999-01-01,Senior Staff
54909,Guozhong,Wegerle,1963-02-21,1997-01-09,9999-01-01,Assistant Engineer
54911,Muneo,Verspoor,1964-08-23,1994-02-19,9999-01-01,Engineer
54916,Gita,Perng,1964-08-15,1997-08-15,9999-01-01,Staff
54938,Yakkov,Tempesti,1964-04-09,1996-07-03,9999-01-01,Engineer
54941,Ipke,Pietrzykowski,1963-01-03,1996-12-27,9999-01-01,Assistant Engineer
54958,Pradeep,Mellouli,1963-02-21,1985-09-04,9999-01-01,Engineer
54964,True,Conde,1963-03-05,1993-06-07,9999-01-01,Engineer
54986,Samphel,Henseler,1963-10-17,1988-06-23,9999-01-01,Senior Staff
55006,Elliott,Tchuente,1964-06-28,1994-10-10,9999-01-01,Senior Engineer
55021,Youngkon,Zaumen,1964-07-25,1985-11-15,9999-01-01,Senior Staff
55025,Kazuhiro,Beilner,1964-12-04,1985-05-12,9999-01-01,Senior Engineer
55031,Katsuyuki,Zongker,1964-12-25,1989-10-29,9999-01-01,Staff
55033,Aiichiro,Lorho,1964-09-27,1987-05-09,9999-01-01,Senior Staff
55035,Jordanka,Nollmann,1963-03-07,1993-04-21,9999-01-01,Engineer
55051,Conal,Beznosov,1964-12-24,1993-09-06,9999-01-01,Engineer
55066,Chenxi,Fetvedt,1963-03-17,1997-11-22,9999-01-01,Engineer
55072,Yakkov,Spataro,1964-12-08,1992-08-10,9999-01-01,Engineer
55088,Heng,Businaro,1964-04-03,1996-09-19,9999-01-01,Senior Staff
55092,Moheb,Gimarc,1963-08-23,1992-09-09,9999-01-01,Senior Engineer
55097,Roded,Waymire,1963-05-05,1990-04-20,9999-01-01,Senior Staff
55119,Idoia,Reistad,1963-02-11,1990-05-18,9999-01-01,Assistant Engineer
55136,Shiv,Cyne,1964-03-14,1997-07-01,9999-01-01,Staff
55148,Aimee,Yetim,1964-03-31,1994-07-22,9999-01-01,Senior Engineer
55150,Moto,Monkewich,1963-01-04,1994-09-16,9999-01-01,Engineer
55155,Kazuhito,Harllee,1963-04-15,1996-09-20,9999-01-01,Engineer
55160,Matt,Lichtman,1963-11-16,1995-08-31,9999-01-01,Staff
55165,Ebbe,Srimani,1963-10-02,1988-11-09,9999-01-01,Engineer
55167,Haldon,Boudaillier,1963-04-29,1994-01-22,9999-01-01,Senior Staff
55170,Mani,Pavlopoulou,1963-04-26,1989-08-30,9999-01-01,Senior Engineer
55172,Mingzeng,Raoux,1963-08-12,1995-01-30,9999-01-01,Engineer
55176,Behnaam,Akazan,1963-09-26,1999-02-04,9999-01-01,Staff
55177,Paraskevi,Mapelli,1963-03-17,1998-04-11,9999-01-01,Engineer
55202,Ranga,Tsukuda,1964-05-05,1998-10-11,9999-01-01,Engineer
55203,KayLiang,Valtorta,1963-12-10,1986-10-11,9999-01-01,Technique Leader
55211,Jingling,Stellhorn,1963-12-17,1992-06-21,9999-01-01,Senior Engineer
55222,Huican,Danecki,1964-08-22,1995-12-11,9999-01-01,Staff
55244,Changho,Merlo,1964-06-24,1992-01-16,9999-01-01,Staff
55247,Ymte,Karlin,1963-06-18,1985-09-05,9999-01-01,Staff
55252,Rimon,Vasanthakumar,1963-12-30,1988-12-16,9999-01-01,Staff
55253,Olivera,Birjandi,1963-03-19,1994-03-02,9999-01-01,Senior Engineer
55254,Mads,Marciano,1963-08-27,1993-08-13,9999-01-01,Staff
55260,Spyrose,Schaad,1963-12-17,1991-04-24,9999-01-01,Senior Engineer
55292,Anneke,Bennet,1964-06-10,2000-12-23,9999-01-01,Senior Engineer
55293,Nalini,Bazzichi,1964-08-03,1990-12-12,9999-01-01,Senior Staff
55315,Constantino,Undy,1963-10-24,1997-08-16,9999-01-01,Senior Engineer
55322,Garnik,Heijenga,1964-03-15,1985-09-09,9999-01-01,Senior Engineer
55333,Aamod,Lundstrom,1963-08-23,1994-06-16,9999-01-01,Senior Engineer
55359,Domenico,Keohane,1963-07-24,1986-12-08,9999-01-01,Senior Staff
55360,Aemilian,Mitzlaff,1964-01-16,1998-06-25,9999-01-01,Senior Engineer
55361,Christoper,Prenel,1963-09-09,1995-10-13,9999-01-01,Engineer
55376,Kristen,Pezzoli,1964-09-13,1992-01-27,9999-01-01,Senior Engineer
55387,Tran,Birsak,1964-04-25,1998-06-25,9999-01-01,Staff
55396,Miomir,Rahier,1963-03-25,1985-05-14,9999-01-01,Staff
55425,Arvin,Lubachevsky,1963-10-08,1996-04-29,9999-01-01,Senior Engineer
55436,Dines,Kumaresan,1963-04-19,1991-10-21,9999-01-01,Staff
55457,Xiahua,Rusterholz,1964-01-11,1989-10-20,9999-01-01,Senior Staff
55482,Satoru,Leivant,1963-02-20,1987-07-22,9999-01-01,Engineer
55495,Billur,Lodder,1964-02-23,1997-02-17,9999-01-01,Engineer
55500,Uwe,Matzel,1963-07-13,1996-03-25,9999-01-01,Senior Engineer
55513,Yaghout,Gulak,1964-06-22,1994-12-12,9999-01-01,Senior Staff
55533,Subir,Worfolk,1963-02-03,1991-01-05,9999-01-01,Senior Engineer
55535,Kristian,Jarecki,1963-07-19,1999-03-19,9999-01-01,Staff
55536,Jungsoon,Baba,1964-01-11,1987-02-07,9999-01-01,Senior Staff
55547,Jeong,Gente,1964-08-11,1995-01-17,9999-01-01,Technique Leader
55550,Boaz,Alpay,1963-07-28,1998-08-27,9999-01-01,Engineer
55562,Nikolaos,Schrift,1964-06-14,1997-05-13,9999-01-01,Staff
55564,Danil,Akazan,1964-04-30,1994-06-15,9999-01-01,Engineer
55566,Satoru,Panienski,1963-05-20,1992-09-24,9999-01-01,Staff
55573,Sachio,Pocchiola,1964-05-09,1993-05-16,9999-01-01,Engineer
55586,Brewster,Janetzko,1963-01-15,1998-02-15,9999-01-01,Senior Staff
55603,Otmar,Valette,1963-10-28,1987-05-12,9999-01-01,Senior Staff
55607,Mayumi,Detkin,1964-07-30,1994-11-04,9999-01-01,Staff
55611,Moss,Kuszyk,1964-07-14,1999-06-09,9999-01-01,Engineer
55618,Terresa,Heering,1964-04-21,1995-07-30,9999-01-01,Staff
55627,Basem,Yurek,1964-08-30,1995-12-17,9999-01-01,Staff
55628,DeForest,Armand,1963-09-02,1996-09-19,9999-01-01,Engineer
55638,Younwoo,Lortz,1964-06-06,1996-10-26,9999-01-01,Engineer
55640,Adit,Syrotiuk,1965-01-25,1993-07-16,9999-01-01,Senior Engineer
55648,Valery,Pettey,1964-05-12,1995-04-20,9999-01-01,Senior Staff
55685,Lein,Pokrovskii,1963-10-31,1998-02-21,9999-01-01,Staff
55687,Shih,Lindqvist,1965-01-02,1995-03-29,9999-01-01,Senior Engineer
55691,Xuejun,Kusakari,1964-10-07,1994-08-08,9999-01-01,Staff
55692,Etsuo,Cooley,1963-09-03,1996-06-17,9999-01-01,Senior Staff
55693,Nagui,Seghrouchni,1963-12-28,1992-12-05,9999-01-01,Engineer
55697,Isaac,Perelgut,1963-11-03,1999-11-06,9999-01-01,Staff
55705,Debaprosad,Pargas,1964-09-07,1993-12-25,9999-01-01,Technique Leader
55708,Lena,Juneja,1963-03-07,1990-01-23,9999-01-01,Senior Engineer
55717,Werner,Pelz,1963-09-09,1988-07-22,9999-01-01,Senior Engineer
55742,Rosella,Gils,1963-02-20,1990-08-13,9999-01-01,Senior Engineer
55744,Henk,Swab,1964-01-27,1993-08-23,9999-01-01,Engineer
55771,Huican,Demeyer,1964-01-13,1991-03-12,9999-01-01,Engineer
55787,Howell,Bamford,1963-10-27,1985-07-21,9999-01-01,Staff
55789,Satosi,Versino,1964-02-24,1998-10-24,9999-01-01,Engineer
55796,Qiwen,Milicia,1964-06-01,1996-08-17,9999-01-01,Senior Staff
55797,Jaewon,Ranft,1964-08-08,1992-07-14,9999-01-01,Senior Staff
55799,Jianwen,Litzler,1965-01-23,1987-06-17,9999-01-01,Senior Engineer
55802,Larisa,Diderrich,1964-01-09,1992-09-14,9999-01-01,Senior Engineer
55811,Shigeu,Capobianchi,1964-01-06,1990-03-30,9999-01-01,Senior Engineer
55813,Conor,Schneeberger,1964-05-01,1988-06-14,9999-01-01,Senior Engineer
55816,Uma,Kaiser,1963-10-04,1985-10-02,9999-01-01,Engineer
55817,Ayonca,Dusink,1964-07-08,1997-08-06,9999-01-01,Engineer
55820,Tonny,Cannard,1963-03-28,1991-06-18,9999-01-01,Staff
55828,Jaques,Tetzlaff,1964-08-20,1998-09-28,9999-01-01,Senior Staff
55847,Jackson,Sommer,1963-01-26,1992-10-09,9999-01-01,Engineer
55850,Feiyu,Koprowski,1964-05-16,1994-06-25,9999-01-01,Technique Leader
55857,Adin,Scallan,1965-01-18,1987-09-15,9999-01-01,Staff
55868,Fai,Hashii,1964-05-17,1989-01-27,9999-01-01,Engineer
55905,Mayuri,Gerteisen,1963-07-08,1997-08-14,9999-01-01,Senior Engineer
55920,Vishwani,Collette,1964-03-22,1993-05-12,9999-01-01,Senior Staff
55927,Yucai,Koyama,1963-03-11,1998-04-15,9999-01-01,Senior Staff
55937,Renee,Schneeberger,1964-01-17,1986-08-19,9999-01-01,Staff
55940,Ziyad,Ramsay,1964-09-02,1987-11-07,9999-01-01,Technique Leader
55965,Basim,Mitzlaff,1964-03-21,1994-12-18,9999-01-01,Staff
55968,Jacopo,Coorg,1964-10-09,1992-01-16,9999-01-01,Senior Engineer
55981,Dipayan,Cooman,1963-12-29,1997-03-13,9999-01-01,Engineer
55983,Shounak,Cannata,1963-08-17,1993-08-09,9999-01-01,Senior Staff
55986,Zhiwei,Vadhan,1963-10-29,1991-09-02,9999-01-01,Staff
55990,Jouko,Usery,1964-03-14,1993-07-15,9999-01-01,Senior Staff
56002,Kyoichi,Mitsuhashi,1963-01-15,1994-04-02,9999-01-01,Senior Staff
56017,Nikolaus,Tischendorf,1964-09-27,1997-06-30,9999-01-01,Staff
56024,Gopalakrishnan,Atrawala,1964-11-10,1994-10-13,9999-01-01,Engineer
56027,Anneli,Sigstam,1964-12-14,1992-01-19,9999-01-01,Senior Engineer
56031,Vatsa,Lunn,1963-06-04,2000-01-26,9999-01-01,Staff
56032,Arunachalam,Engelmann,1963-02-15,1990-08-25,9999-01-01,Engineer
56042,Gay,Krone,1964-05-17,1987-09-29,9999-01-01,Staff
56048,Bojan,Simmel,1963-05-23,1992-02-17,9999-01-01,Engineer
56055,Uli,Janocha,1964-02-05,1999-11-14,9999-01-01,Technique Leader
56060,Kokou,Bellone,1963-12-27,1998-10-01,9999-01-01,Staff
56063,Wonhee,Frijda,1963-09-13,1988-06-24,9999-01-01,Assistant Engineer
56076,Malu,Yamaashi,1964-11-08,1999-10-01,9999-01-01,Staff
56077,Mohammad,Ressouche,1963-04-26,1990-01-29,9999-01-01,Senior Engineer
56094,Charlene,Breugel,1964-02-28,1995-07-24,9999-01-01,Staff
56097,Kamakshi,Ranft,1963-10-23,1997-10-25,9999-01-01,Staff
56105,Makato,Remmers,1965-01-11,1989-04-16,9999-01-01,Engineer
56113,Aleksander,Strehl,1964-08-13,1992-02-05,9999-01-01,Senior Staff
56119,Alejandra,Varker,1964-02-03,1986-07-04,9999-01-01,Engineer
56122,Shounak,Chiodo,1964-09-06,1989-10-30,9999-01-01,Technique Leader
56124,Oldrich,Wroclawski,1964-05-11,1987-10-13,9999-01-01,Engineer
56128,Serif,Bashian,1963-11-05,1997-08-24,9999-01-01,Staff
56152,Zhenhua,Covnot,1964-05-08,1995-08-13,9999-01-01,Engineer
56158,Rafael,Puoti,1963-02-19,1987-03-03,9999-01-01,Staff
56160,Miomir,Kadhim,1964-08-20,1993-02-06,9999-01-01,Senior Staff
56161,Guiseppe,Azumi,1964-01-16,1988-09-01,9999-01-01,Senior Staff
56162,Filipe,Krzyzanowski,1963-07-08,1989-09-20,9999-01-01,Engineer
56165,Constantine,Erdi,1964-12-07,1992-03-09,9999-01-01,Senior Staff
56178,Martina,Genther,1963-07-27,1987-10-21,9999-01-01,Senior Engineer
56204,Teiji,Itschner,1964-11-26,1990-01-27,9999-01-01,Senior Engineer
56209,Remzi,Douceur,1965-01-19,1992-12-01,9999-01-01,Engineer
56213,Kwok,Hiraishi,1963-03-13,1990-05-25,9999-01-01,Senior Staff
56220,Candido,Deville,1964-11-21,1986-05-24,9999-01-01,Engineer
56233,Gunilla,Cincotta,1964-04-15,2001-11-09,9999-01-01,Senior Engineer
56234,Yongqiao,Gecsei,1964-05-09,1999-06-19,9999-01-01,Engineer
56249,Ghassan,Erbe,1964-11-14,1991-10-21,9999-01-01,Senior Engineer
56257,Harngdar,Comellas,1964-04-30,1999-05-05,9999-01-01,Staff
56258,Boutros,Foong,1964-04-06,1991-04-13,9999-01-01,Assistant Engineer
56274,Marin,Schmiedel,1964-03-12,1995-11-26,9999-01-01,Engineer
56276,Carrsten,Denny,1963-07-28,1991-08-30,9999-01-01,Senior Engineer
56277,Marek,Sadowski,1963-07-17,1992-02-16,9999-01-01,Senior Engineer
56282,Kerhong,Varley,1964-04-25,1990-10-17,9999-01-01,Senior Staff
56305,Leni,Tsukuda,1963-11-11,1990-07-11,9999-01-01,Staff
56307,Luigi,Gewali,1964-04-25,1999-02-22,9999-01-01,Senior Engineer
56309,Piyawadee,Basawa,1963-08-01,1985-03-23,9999-01-01,Senior Engineer
56331,Chuanti,Ozery,1963-09-29,1989-11-17,9999-01-01,Senior Engineer
56343,Karlis,Bahi,1964-02-26,1988-12-21,9999-01-01,Staff
56344,Krisda,Kowalchuk,1964-05-30,1997-03-25,9999-01-01,Engineer
56349,Honesty,Sethi,1964-12-01,1986-01-27,9999-01-01,Senior Engineer
56354,Almudena,Schieder,1963-07-23,1999-08-28,9999-01-01,Engineer
56355,Mona,Passafiume,1963-04-11,1999-08-29,9999-01-01,Senior Engineer
56359,Shan,Birrer,1963-09-01,1998-05-27,9999-01-01,Staff
56362,Florina,Marrevee,1964-11-03,1985-10-13,9999-01-01,Senior Engineer
56367,Felicidad,Millington,1963-08-15,1995-12-04,9999-01-01,Staff
56373,Brewster,Besancenot,1964-09-24,1997-02-02,9999-01-01,Assistant Engineer
56381,Mohammad,Homond,1963-07-02,1999-11-13,9999-01-01,Engineer
56383,Mani,Schlenzig,1964-04-12,1987-05-25,9999-01-01,Engineer
56388,Leah,McDermid,1963-01-24,1989-05-11,9999-01-01,Engineer
56392,Ramya,Delgrande,1963-05-20,1995-01-03,9999-01-01,Senior Engineer
56414,Bluma,Ranon,1963-07-29,1998-06-04,9999-01-01,Staff
56415,Sigeru,Nivat,1965-01-30,1991-10-24,9999-01-01,Senior Staff
56419,Yuchang,Keustermans,1964-03-21,1995-02-09,9999-01-01,Engineer
56428,Olivera,Hanabata,1965-01-27,1986-11-10,9999-01-01,Staff
56434,Tze,Ranai,1964-06-09,1997-01-27,9999-01-01,Senior Engineer
56435,Yuriy,Jumpertz,1963-05-18,1997-01-20,9999-01-01,Senior Engineer
56438,Tristan,Flasterstein,1963-05-14,1989-01-05,9999-01-01,Technique Leader
56440,Magy,Tsukuda,1964-11-21,1999-06-13,9999-01-01,Engineer
56456,Yakichi,Spinelli,1964-05-12,1997-07-10,9999-01-01,Senior Staff
56461,Vitali,Egerstedt,1963-01-26,1998-08-30,9999-01-01,Senior Engineer
56467,Qiwen,Saoudi,1963-05-05,1992-06-16,9999-01-01,Staff
56469,Fumiko,Polajnar,1963-07-30,1994-11-06,9999-01-01,Senior Engineer
56474,Tamiya,Lorys,1963-07-28,1990-10-02,9999-01-01,Engineer
56475,Stabislas,Matzat,1963-02-25,1998-02-23,9999-01-01,Engineer
56480,Vasiliy,Ellozy,1963-02-04,1998-07-05,9999-01-01,Senior Engineer
56484,Mahendra,Seuren,1964-03-20,1990-09-02,9999-01-01,Engineer
56493,Mayuri,Escriba,1964-11-09,1991-09-24,9999-01-01,Staff
56523,Yannis,Asrin,1964-05-08,1994-03-29,9999-01-01,Staff
56535,Shuky,Hasenauer,1964-10-19,1998-11-28,9999-01-01,Staff
56536,Eishiro,Hammerschmidt,1964-09-25,1989-07-22,9999-01-01,Staff
56540,Francoise,Hardjono,1963-12-16,1999-02-19,9999-01-01,Staff
56554,Feiyu,Chepyzhov,1964-07-20,1994-06-28,9999-01-01,Senior Engineer
56555,Ziyad,Picht,1964-06-07,1998-11-17,9999-01-01,Staff
56574,Almudena,Bahk,1963-11-18,1991-07-14,9999-01-01,Engineer
56576,Rimli,Rodiger,1964-03-22,1989-02-18,9999-01-01,Staff
56586,Lucien,Uhrig,1963-11-25,1998-05-25,9999-01-01,Staff
56599,Hugh,Hooghiemstra,1964-11-04,1997-06-27,9999-01-01,Senior Staff
56617,Moni,Luce,1963-12-09,1989-11-29,9999-01-01,Senior Staff
56623,Yongqiao,Perly,1964-08-03,1991-06-24,9999-01-01,Senior Engineer
56624,Shigehito,Mahmud,1964-10-07,1993-04-01,9999-01-01,Senior Staff
56629,Arun,Gulla,1964-07-02,1987-04-20,9999-01-01,Engineer
56632,Hauke,Harllee,1963-11-22,1997-12-21,9999-01-01,Engineer
56640,Rosita,Janocha,1964-12-07,1997-04-23,9999-01-01,Engineer
56646,Zhigen,Swan,1964-09-03,1991-03-15,9999-01-01,Senior Engineer
56669,Akeel,Birnbaum,1964-02-29,1995-11-29,9999-01-01,Staff
56676,Zhensheng,Milicic,1964-08-14,1999-03-15,9999-01-01,Engineer
56682,Roded,Picco,1965-01-28,1993-11-06,9999-01-01,Assistant Engineer
56683,Jayson,Krider,1964-05-22,1996-04-08,9999-01-01,Engineer
56727,Subhash,Sidou,1963-06-24,2002-05-30,9999-01-01,Engineer
56729,Lucien,Nitsche,1964-04-24,1988-10-17,9999-01-01,Engineer
56734,Xiong,Skogmar,1963-09-07,1986-12-03,9999-01-01,Senior Engineer
56735,Yuuichi,Gomatam,1964-05-27,1994-05-22,9999-01-01,Senior Staff
56736,Oscar,Brodie,1964-03-28,1993-09-11,9999-01-01,Staff
56738,Leif,Tanemo,1963-10-01,2000-02-11,9999-01-01,Engineer
56743,Lansing,Nitto,1963-11-28,1986-05-27,9999-01-01,Senior Staff
56746,Mads,Fadgyas,1964-09-03,1998-10-31,9999-01-01,Senior Staff
56750,Marsja,Ranka,1963-08-04,1995-01-26,9999-01-01,Senior Engineer
56768,Tonia,Lamma,1963-01-19,1988-04-22,9999-01-01,Senior Engineer
56769,Lene,Birge,1963-04-24,1992-07-01,9999-01-01,Engineer
56771,Gay,Panienski,1964-11-25,1990-06-21,9999-01-01,Senior Engineer
56773,Jianhua,Parascandalo,1964-08-03,1995-07-31,9999-01-01,Senior Engineer
56776,Caolyn,Matzov,1963-02-08,1995-08-08,9999-01-01,Staff
56783,Subhash,Bondorf,1963-09-29,1987-08-27,9999-01-01,Senior Engineer
56792,Barry,Erde,1963-03-12,1988-01-28,9999-01-01,Senior Engineer
56798,Jiakeng,Lanzelotte,1964-12-27,1998-11-07,9999-01-01,Staff
56806,Naraig,Sudbeck,1964-04-12,1992-06-10,9999-01-01,Engineer
56829,Nagui,Gruenwald,1965-01-09,1997-06-14,9999-01-01,Engineer
56838,Xinan,Veevers,1964-06-21,1986-07-21,9999-01-01,Staff
56842,Munir,Lenart,1963-03-14,1989-08-21,9999-01-01,Assistant Engineer
56847,Menkae,Chinin,1965-01-14,1998-08-27,9999-01-01,Senior Engineer
56848,Urs,Stentiford,1964-10-12,1996-04-09,9999-01-01,Senior Engineer
56857,Shalesh,Ratnakar,1963-12-05,1988-02-08,9999-01-01,Assistant Engineer
56869,Tadahiko,Shihab,1963-07-16,1995-03-30,9999-01-01,Engineer
56875,Nikolaus,Kropatsch,1964-03-02,1996-04-26,9999-01-01,Senior Staff
56876,Steen,Matzel,1964-10-01,1987-11-02,9999-01-01,Engineer
56884,Serenella,Akazan,1963-03-14,1997-06-16,9999-01-01,Engineer
56886,Sadok,Papsdorf,1964-09-18,1997-03-22,9999-01-01,Senior Staff
56891,Alassane,Schwaller,1963-04-09,1995-12-14,9999-01-01,Assistant Engineer
56896,Kankanahalli,Poehlman,1964-11-27,1995-02-05,9999-01-01,Engineer
56897,Qingxiang,Farris,1964-06-19,1989-06-06,9999-01-01,Senior Engineer
56900,Seshu,Stentiford,1964-10-15,1991-06-06,9999-01-01,Engineer
56911,Pranjal,Massonet,1964-01-22,1989-03-24,9999-01-01,Senior Engineer
56913,Ranan,Murtagh,1964-04-12,1987-08-13,9999-01-01,Senior Engineer
56928,Zhigen,Nyrup,1964-02-17,1988-05-15,9999-01-01,Senior Staff
56932,Zhiwei,Ashish,1964-02-02,2002-02-07,9999-01-01,Engineer
56946,Gian,Casley,1964-12-07,1992-08-18,9999-01-01,Senior Staff
56951,Faiza,Preusig,1963-06-18,1997-05-13,9999-01-01,Staff
56960,Hatsukazu,Backhouse,1964-05-23,1990-02-20,9999-01-01,Engineer
56974,Taegyun,Brodal,1964-06-28,1988-09-20,9999-01-01,Senior Staff
56977,Munehiro,Aloisi,1963-08-08,1998-10-08,9999-01-01,Engineer
56979,Kokou,Mayerwieser,1963-03-05,1990-04-06,9999-01-01,Senior Engineer
56980,Baoqiu,Terkki,1963-04-17,1986-12-03,9999-01-01,Technique Leader
57017,Sachem,Ferretti,1963-04-23,1993-12-01,9999-01-01,Senior Staff
57019,Ortrun,Bolotov,1963-04-30,1996-06-16,9999-01-01,Senior Engineer
57028,Yuchang,Hellwagner,1963-08-11,1999-12-19,9999-01-01,Staff
57029,Saniya,Geffroy,1963-10-23,1993-08-18,9999-01-01,Senior Staff
57032,Vitali,Mahnke,1963-01-27,1992-02-20,9999-01-01,Senior Engineer
57036,Yuriy,Marquardt,1963-05-26,1999-10-18,9999-01-01,Engineer
57052,Chiranjit,Narwekar,1963-05-22,1986-12-30,9999-01-01,Technique Leader
57057,Stafford,Matheson,1964-02-02,1990-07-13,9999-01-01,Engineer
57059,Shichao,Chinen,1963-12-10,1988-01-04,9999-01-01,Engineer
57063,Selwyn,Thibadeau,1964-12-27,1990-06-11,9999-01-01,Staff
57067,Roded,Spataro,1963-06-08,1991-08-31,9999-01-01,Senior Staff
57074,Niranjan,Ventosa,1964-02-29,1998-10-22,9999-01-01,Staff
57125,Kamran,Waeselynck,1963-10-30,1990-08-21,9999-01-01,Staff
57129,Shai,Navazio,1964-12-31,1998-01-27,9999-01-01,Senior Engineer
57132,Visit,Schiper,1964-01-06,1987-07-10,9999-01-01,Senior Staff
57147,Sigeru,Rebaine,1964-05-18,2001-06-10,9999-01-01,Staff
57159,Hyuncheol,Zeleznik,1963-08-28,1990-10-17,9999-01-01,Engineer
57166,George,Foote,1963-01-16,1999-09-07,9999-01-01,Senior Engineer
57170,Weicheng,Basart,1963-01-06,1995-04-23,9999-01-01,Staff
57173,Gererd,Qiwen,1963-10-17,1991-01-04,9999-01-01,Staff
57216,Vidya,Clemencon,1964-12-15,1993-09-20,9999-01-01,Engineer
57238,Bodo,Kaminger,1963-02-05,1987-12-29,9999-01-01,Senior Engineer
57247,Mayuko,Szemeredi,1963-12-14,1985-07-24,9999-01-01,Technique Leader
57254,Aleksander,Ghemri,1964-04-08,1997-10-12,9999-01-01,Staff
57268,Wuxu,McDermid,1963-03-28,1994-02-07,9999-01-01,Engineer
57274,Kazuhiko,Georgatos,1964-12-12,1997-09-07,9999-01-01,Staff
57283,Arumugam,Swan,1963-11-30,1999-11-05,9999-01-01,Engineer
57288,Elvis,Anandan,1963-12-24,1998-01-18,9999-01-01,Staff
57290,Giao,Poupard,1964-10-25,1999-11-11,9999-01-01,Staff
57321,Girolamo,Eterovic,1964-04-24,1990-08-06,9999-01-01,Staff
57343,Adil,Heuser,1964-11-19,1991-10-27,9999-01-01,Engineer
57352,Shuho,Ishibashi,1963-05-14,1988-03-12,9999-01-01,Staff
57354,Billie,Ciolek,1964-03-31,1988-02-27,9999-01-01,Engineer
57356,Petter,Nishimukai,1964-07-23,1988-05-30,9999-01-01,Senior Staff
57368,Parke,Raney,1963-08-30,1988-05-12,9999-01-01,Engineer
57369,Matt,Griswold,1963-08-30,1997-09-01,9999-01-01,Senior Engineer
57376,Jungsoon,Docker,1963-08-26,1998-03-29,9999-01-01,Senior Engineer
57378,Vivian,Luff,1963-02-18,1989-12-15,9999-01-01,Engineer
57382,Hideyuki,Matheson,1963-04-19,1998-05-20,9999-01-01,Engineer
57385,Kiam,Gomatam,1963-10-22,2001-07-12,9999-01-01,Staff
57387,Ottavia,Ballarin,1964-02-03,1994-07-12,9999-01-01,Senior Engineer
57401,Xiaocheng,Fiutem,1964-09-22,1997-11-12,9999-01-01,Staff
57407,Waiman,Codenie,1963-06-07,1996-11-04,9999-01-01,Staff
57411,Pantung,Harnett,1964-05-01,1987-12-31,9999-01-01,Senior Staff
57416,Val,Mikschl,1963-04-19,2002-06-10,9999-01-01,Staff
57420,Shahar,Mamelak,1963-08-21,1987-01-07,9999-01-01,Senior Engineer
57423,Radhia,Swab,1963-04-12,1999-11-23,9999-01-01,Senior Staff
57424,Jaques,Magliocco,1964-07-31,1997-03-07,9999-01-01,Staff
57430,Along,Borstler,1964-07-12,2000-01-08,9999-01-01,Staff
57434,Jaques,Hennings,1964-07-11,2001-12-03,9999-01-01,Engineer
57449,Mayuri,Luga,1963-09-21,1990-04-05,9999-01-01,Senior Engineer
57454,Hugh,Hebden,1963-02-21,1993-08-06,9999-01-01,Senior Staff
57469,Boguslaw,Kragelund,1964-06-10,1998-10-14,9999-01-01,Engineer
57480,Kien,Escriba,1963-09-28,1995-05-20,9999-01-01,Engineer
57481,JoAnna,Savasere,1963-11-15,1995-08-07,9999-01-01,Engineer
57497,Sachin,Boudaillier,1963-10-28,1998-05-30,9999-01-01,Engineer
57500,Shaw,Veevers,1963-10-20,1987-02-15,9999-01-01,Senior Engineer
57507,Berhard,Kroft,1964-04-09,1987-12-01,9999-01-01,Senior Staff
57509,Mabo,Stanfel,1964-05-23,1987-08-02,9999-01-01,Engineer
57517,Hausi,Nanard,1963-05-04,1993-06-16,9999-01-01,Engineer
57529,Garnet,Naudin,1963-05-05,1990-08-16,9999-01-01,Staff
57534,Dmitri,Esteva,1964-01-31,1994-09-03,9999-01-01,Senior Staff
57538,Christophe,Kakkad,1964-02-14,1986-01-25,9999-01-01,Technique Leader
57551,Junichi,Sluis,1963-04-08,1989-02-01,9999-01-01,Senior Engineer
57553,Gou,Thorelli,1963-04-17,1997-05-18,9999-01-01,Senior Engineer
57555,Gino,Trumbly,1964-07-21,1999-11-15,9999-01-01,Staff
57567,George,Pettit,1963-03-04,1991-12-12,9999-01-01,Staff
57570,Goncalo,Pleszkun,1964-01-06,1999-09-09,9999-01-01,Senior Staff
57576,Rosalyn,Olivero,1964-06-07,1991-01-10,9999-01-01,Senior Staff
57605,Kwangyoen,Felder,1964-12-28,1999-09-30,9999-01-01,Engineer
57614,Demos,Whittlesey,1963-01-18,1985-06-08,9999-01-01,Senior Engineer
57624,Demos,Belinskaya,1964-07-14,1987-09-02,9999-01-01,Senior Staff
57633,Tooru,Hagimont,1963-11-13,1990-04-30,9999-01-01,Engineer
57642,Saddek,Felcyn,1964-01-10,1997-04-10,9999-01-01,Engineer
57644,Sigeru,Mansanne,1963-02-01,1990-04-24,9999-01-01,Assistant Engineer
57647,Douadi,Ouhyoung,1963-05-15,1995-08-21,9999-01-01,Engineer
57654,Gurbir,Liedekerke,1964-06-17,1998-07-15,9999-01-01,Senior Staff
57656,Marko,Nourani,1963-01-29,2001-07-30,9999-01-01,Staff
57662,Miomir,Kusakabe,1963-05-21,1987-06-11,9999-01-01,Technique Leader
